sppg_id,nama_sekolah,kategori,alamat,default_porsi_besar,default_porsi_kecil
12,SMP Tahfid Putri (Pondok),Sekolah,Alhusna 2 (Singorojo),,
12,TK Aisyiyah 07 Jepara,Sekolah,Desa Pelemkerep RT. 05 RW. 03,,
12,KB Aisyiyah 19 Jepara,Sekolah,Desa Pelemkerep RT. 05 RW. 03,,
12,KB Janeeta Apria,Sekolah,Desa Singorojo RT. 01 RW. 03,,
12,TK Janeeta Apria,Sekolah,Desa Singorojo RT. 01 RW. 03,,
12,SMKS Islam Al Hikmah Mayong,Sekolah,Desa Singorojo RT. 05 RW. 03,,
12,SD Negeri 2 Pelemkerep,Sekolah,Desa Pelemkerep RT. 02 RW. 04,,
12,TK Al Muhajirin Singorojo,Sekolah,Desa Singorojo,,
12,MI Assalam Singorojo,Sekolah,Desa Singorojo,,
12,TK Tunas Pertiwi I,Sekolah,Desa Singorojo RT. 09 RW. 01,,
12,TK Tunas Pertiwi Ii,Sekolah,Singorojo,,
12,TK Pertiwi 08.03,Sekolah,Pelemkerep,,
12,TPA Roudlotul Wildan Mayong Lor,Sekolah,Desa Mayong Lor,,
